question,answer,image_id
how many large rectangle objects are there on the table,5,image54
what is right side of the book,chair,image54
what is left side of the exercise ball,lamp,image55
what is on the wall,picture,image58
what is the largest object,bed,image58
how many pillows are there,2,image58
what is on the right side of the night stand,mirror,image64
how many pillows are there on the bed,1,image64
what is at the right most edge of the table,lamp,image66
how many photo frames are there,2,image66
what is the colour of the teddy bear,brown,image67
what is on predominantly lying down on the bed,clothes,image70
how many pillows are there,2,image71
how many slippers are there,3,image72
what is on the right side of the rack,door,image72
how many pictures are there on the wall,3,image73
what is on the right side of the bottle of liquid,lamp,image73
what is on the night stand closer to the bed,books,image73
what is behind the bed,curtain,image74
what is on the right side of the table,curtain,image75
what is in the third shelf of the rack,books,image80
what is on the left most side on night stand,lamp,image81
what is the largest object,bed,image81
what is in front of the pillow,clothes,image81
what is on the left most side on the table,books,image83
what is the red object in front of the wall,lamp,image93
what is in front of the table,books,image93
what is beneath the hat,clothes,image94
what is on the left most side,shelves,image94
how many steps are there,3,image95
how many clothes stand are there in the front,4,image95
how many stands are there in front of the pillar,2,image96
how many shelves are visible,4,image97
how many shelves are there in the rack which is in front,3,image98
what is behind the cup stand,table,image98
what is on the left side of the photo stand,clothes,image100
how many stands of cup are there,2,image101
how many shelves are there in the right stand,3,image101
what is in the rack,picture,image103
how many doors are there in the cupboard beneath the picture rack,2,image103
what is on the racks,books,image104
how many stools are there,2,image105
how many racks are visible,4,image105
how many cartons are there,4,image106
how many cartons have a sticker on them,3,image106
how many pillars are visible,4,image107
what is surrounding the pillar,table,image107
how many doors of the cupboard are open,1,image108
what is kept below the shelf that has the tape,books,image108
how many machines are there,3,image109
how many lights are visible,4,image109
what is above the cupboards,books,image110
what is the colour of the equipment on the pillar,red,image110
how many monitors are there,3,image111
how many rows of shelves are there beneath the gray table,books,image111
how many pillars are visible,2,image111
what is the colour of the pillars,white,image112
what is in front of the gray rack,garbage_bin,image112
what is the colour of the monitors,black,image112
what is the colour of the paper that is stuck on the left most side of the wall,black,image113
how many lights are hanging from the ceiling on the left most side,3,image114
how many red objects are there,1,image115
what is in front of the wall,table,image116
what is in front of the desk,chair,image369
how many drawers are visible,3,image369
how many picture frames are there,2,image369
what is on the right side of the table,window,image369
what is beneath the desk,garbage_bin,image370
how many drawers are there on the left side shelf,3,image370
what is on the window,blinds,image371
what is on the left side of the sofa,table,image372
what is on the right side of the sofa,window,image372
how any chairs are there,3,image373
what is the colour of the wall,red,image374
what is on the wall,picture,image374
what is beneath the pictures,sofa,image374
what is on the window,blinds,image375
what is the colour of the book on the table,red,image375
how many pillows are there on the sofa,2,image375
what is beneath the laptop table,garbage_bin,image376
what is the colour of the tables,black,image376
how many books are open above the monitor,1,image377
what is on the right side of the cartons,bookshelf,image378
what is behind the chair,table,image378
what is in between the chairs,table,image379
what is the biggest object on the table,lamp,image379
what is on the chair,pillow,image379
what is on the left side of the table,sofa,image380
what is on the right side of the lamp,bookshelf,image381
how many chairs are visible,4,image381
what is behind the chair,curtain,image382
what is on the left side of the light,bookshelf,image383
what is on the right side of the coffee table,chair,image383
how many picture frames are there on the table,3,image383
what is in front of the table,chair,image383
what is in front of the wall,chair,image391
what is on the chair,clothes,image391
what is on the left side of the chair,table,image393
how many switch boards are there,2,image394
what is on the left side of the comforter,lamp,image398
how many blinds are there,2,image398
what is in between the chairs,table,image403
what is the colour of the chairs,red,image403
what is on the wall,picture,image404
how many drawers are there,3,image405
what is on the table,clothes,image405
how many knobs are visible,3,image406
what is behind the drying stand,window,image407
what is on the stand,clothes,image407
what is beneath the table,garbage_bin,image408
what is the colour of the garbage bin,black,image410
what is around the table,chair,image415
what is beneath the sink,garbage_bin,image417
what is on the bed,clothes,image418
what is on the left side of bed,blinds,image418
what is in front of the bed,chair,image418
what is on the right side of the bed,table,image418
what is on the right side of the baskets,books,image419
what is on the right side of the books,door,image419
what is the colour of the object on the left side of the stand,white,image420
how many doors are not fixed,1,image420
what is on the right most side on the table,lamp,image421
what is on the left side of the table,garbage_bin,image421
what is on the wall,picture,image421
what is on the left side of the sofa,blinds,image422
what is on the wall,picture,image422
what is above the drawers,television,image423
what is on the sofa,pillow,image424
what is the colour of the sofa,brown,image424
what is behind the pool table,table,image426
what is behind the table,blinds,image426
what is above the cables shelf,television,image427
what is on the right side of the exercise ball,chair,image427
what is above the cupboards,television,image429
what is on the right side of the toy,table,image436
how many doors are open,2,image436
what is on the wall,shelves,image437
what is on the right side of the shelves,blinds,image437
what is in front of the desk,sofa,image438
what is on the right side of the whiteboard,door,image439
how many rolls are there in the shelf,2,image449
what is beneath the machines,table,image449
how many drawers are there,5,image451
how many chairs are there,4,image452
what is on the wall,picture,image452
how many jackets are there,2,image455
what is in front of the table,chair,image455
how many chairs are there,2,image455
how many ornamental plants are there,3,image457
what is on the right side of the ornamental plant,table,image457
what is beneath the plant,table,image458
what is on the left side of the table,chair,image458
how many chairs are there,3,image458
what is behind the plants,window,image459
what is on the left side of the rack,chair,image460
what is on the left side of the chair,table,image460
how many drawers does the shelf have,4,image460
how many ornamental plants are there,3,image461
how many lights are there,4,image461
what is behind the table,window,image461
what is around the table,chair,image467
how many chairs are there,3,image467
what is the colour of the doors,brown,image468
what is on the stool,books,image478
what is on the wooden wall,picture,image478
what is on the left side of the piano,sofa,image479
what is diagonally opposite to the piano,sofa,image479
how many chairs are visible,1,image479
how many shelves are visible,4,image480
what is behind the sofa,window,image480
what is on the right side of the stamp,picture,image481
how many lights are on,1,image482
what is in front of the wall,table,image482
what is in front of the table,chair,image482
what is the colour of the wall,brown,image482
what is in front of the book rack,chair,image483
how many drawers are visible,3,image483
what is on the right side of the wall,door,image484
what is on the right side of the stand,sofa,image485
what is on the left side of the wall,door,image485
what is on the sofa,pillow,image486
what is the colour of the sofa,brown,image486
what is the colour of the sofa,black,image487
what is on the wall,picture,image487
what is on the right side of the sofa,table,image487
what is on the table,lamp,image488
what is behind the lamp,window,image488
how many chairs are visible,2,image490
what is the colour of the bag,black,image491
what is on the stand,towel,image492
what is on the left side of the stand,table,image492
what is in front of the table,garbage_bin,image496
what is in the hanger,towel,image497
what is on the left side of the toilet,garbage_bin,image497
what is on the left side of the bin,table,image497
what is on the left side of the table,curtain,image497
what is behind the table,window,image497
what is the colour of the perfume bottle,brown,image498
how many drawers are there,1,image498
what is beneath the drawer,towel,image498
what is on the wall above the sink,mirror,image499
what is on the right side of the toilet,curtain,image499
how many people reflection are visible,2,image500
how many drawers are there,5,image500
what is on the wall,towel,image502
what is on the bathtub,curtain,image504
what is the on the hanger,towel,image504
what is on the left side of the sink,garbage_bin,image507
what is on the night stand,lamp,image514
what is beneath the drawer,books,image514
what is on the wall,picture,image514
how many curtains are there,2,image514
what is on the wall,curtain,image527
how many drawers are open,1,image527
what is behind the chair,table,image528
how many drawers are there,2,image529
what is on the left side of the printer,mirror,image529
what is on the left side of the mirror,garbage_bin,image529
what is on the left side of the pink drawer,curtain,image530
what is the colour of the sheet,brown,image530
what is on the pink drawer table,clothes,image530
what is behind the bed,blinds,image534
what is on the right side of the bed,curtain,image534
what is on the third last shelf,clothes,image535
what is on the wall,picture,image535
what is the black object,chair,image536
what is on the left side of the bed,lamp,image540
what is on the left side of the cables,clothes,image541
what is behind the clothes,door,image542
what is in the laundry basket,clothes,image543
what is on the left side of the window,table,image544
what is on the window,curtain,image544
what is around the table,chair,image544
what is on the chair,clothes,image546
what is on the right side of the sofa,lamp,image546
what is on the sofa,pillow,image546
what is on the right side of the window,table,image548
what is on the chair,clothes,image553
what is on the drawer,towel,image573
what is on the tap,towel,image573
what is the colour the mat beneath the kitchen utensils,red,image574
what is on the left side of the rack,door,image578
what is on the blinds,curtain,image584
what is in front of the table,chair,image585
what is on the right side of the table,chair,image586
what is the colour of the wall decoration,red,image587
what is on the wall,picture,image588
what is on the left side of the chair,table,image588
what is on the table,lamp,image588
what is on the left side of the lamp,sofa,image588
how many lamps are visible,2,image588
what is in front of the sofa,table,image588
what is behind the chair,window,image589
what is on the right side of the window,picture,image589
what is on the chair,pillow,image590
what is above the doll,picture,image590
what is on the left side of the fan,television,image595
what is around the table,2,image596
what is behind the table,mirror,image596
what are the chairs surrounding,table,image597
how many sofas are there,2,image598
what is in between the sofas,chair,image598
what is on the right side of the table,lamp,image599
what is on the sofa,pillow,image599
what is the colour of the chair,red,image599
what is behind the sofa,window,image600
what is on the either sides of the window,curtain,image600
what is opposite to the stairs,picture,image601
what is on the stand,television,image602
what is on the left side of the wall,chair,image602
what is opposite to the speaker,table,image602
what is on the left side of the chair,garbage_bin,image608
how many chairs are there,2,image608
what is the colour of the table,red,image609
what is on the right side of the table,chair,image609
how many drawers are there,4,image610
what is in front of the table,chair,image610
what is on the right most side on the table,lamp,image614
what is on the right side of the the picture,window,image615
what is on the right side of the chair,door,image616
what is on the stand,books,image622
what is on the wall,picture,image622
what is on the right side of the poster board,lamp,image625
what is on the right side of the lamp,door,image625
what is on the left side of the book rack,table,image626
what is on the wall,picture,image627
what is on the left most side on the table,lamp,image627
what is in front of the table,chair,image628
how many chairs are visible,2,image629
what is in front of the sofa,table,image630
how many chairs are there,2,image630
what is on the right side of the door,window,image630
what is on the right side of the chair,garbage_bin,image632
how many tables are there,2,image632
how many chairs are there,4,image632
what is on the left side of the table,sofa,image639
what is behind the chair,door,image639
what is on the right side of the door,books,image639
what is on the left side of the chair,table,image640
what is the colour of the wall on the left side of the white board,red,image641
what is the largest object on the wall,television,image642
what is beneath the television,table,image642
what is the colour of the racket,black,image642
what is the colour of the door,brown,image643
what is on the right side of the book rack,garbage_bin,image646
what is beneath the audio system,books,image646
what is on the right side of the fan,window,image647
what is on the right side of the bottle of liquid,curtain,image649
what is the cloth hanging,towel,image652
what is on the left side of the picture,mirror,image653
what is on the hanger,towel,image654
what is on the right side of the towel,curtain,image654
what is on the clothes hanger,towel,image659
what is above the sink,mirror,image660
how many sinks are there,2,image661
what is on the hanger,towel,image661
what is on the left side of the hanger,blinds,image661
what is behind the ornamental item,mirror,image661
what is behind the tissue box,mirror,image665
how many drawers are there,4,image666
what is on the right side of the toilet,curtain,image667
what is on the hanger,towel,image667
what is above the towel,picture,image667
what is on the left most side on the table,mirror,image674
how many mirrors are there,2,image674
how many towels are there,3,image675
what is on the left side of the towel,mirror,image675
what is on the right side of the sink,towel,image684
what is above the tap,mirror,image684
how many bottles are there,3,image692
what is on the right side of the cream tube,curtain,image692
how many drawers are there,3,image695
what is behind the tap,mirror,image700
how many drawers are visible,3,image700
what is on the wall,picture,image701
what is in front of the liquid,towel,image702
what is on the right side of the table,garbage_bin,image702
what is above the holder,blinds,image702
how many tissue rolls are there,3,image703
how many tissue rolls are there,5,image704
what is on the left side of the tissue roll,towel,image705
how many pictures are there on the wall,2,image714
how many towels are in pink colour,4,image715
how many doors are open,1,image715
what is in the hanger,towel,image716
what is on the wall,mirror,image719
what is on the right side of the sink,lamp,image719
what is the colour of the towel,white,image720
what is seen in the mirror reflection,mirror,image721
what is above the tap,mirror,image722
what is on the holder,towel,image723
what is the colour of the towel,white,image729
what is behind the mat,door,image730
what is in front of the tube,towel,image735
what is on the right side of the sink,towel,image735
what is on the stand,towel,image736
what is on the right side of the bathtub,curtain,image737
how many bottles are there,3,image737
how many bottles of liquid are there,3,image738
what is in between doors,towel,image739
what is on the wall,picture,image740
what is on the right side of the picture,blinds,image740
what is in front of the toilet,garbage_bin,image741
what is on the right side of the garbage bin,curtain,image742
what is the colour of the curtains,red,image742
what is around the table,chair,image745
how many chairs are there,4,image746
what is around the table,chair,image748
what is in front of the monitor,chair,image749
what is on the right side of the sink,towel,image750
what is on the left side of the microwave,door,image752
what is around the table,chair,image757
what is above the table,lamp,image758
what is beneath the table,picture,image788
how many ornamental plants are there,3,image789
what is in front of the tissue roll,towel,image790
what is on the right side of the oven,door,image791
what is on the wall,picture,image792
how many ovens are there,2,image793
what is on the left side of the door,window,image794
what is on the sink,towel,image795
what is around the table,chair,image798
what is on the left side of the wall decoration,door,image798
how many shelves are visible,4,image799
what is around the table,chair,image805
what is on the wall,picture,image805
what is the colour of the refrigerator,black,image807
what s in front of the door,chair,image809
what is the colour of the picture on the wall,red,image809
what is behind the blinds,window,image809
how many drawers are open,1,image819
what is in front of the ornamental plant,towel,image825
what is on the left side of the dishwasher,garbage_bin,image826
what is the colour of the garbage bin,brown,image827
what is on the left side of the microwave,towel,image827
what is behind the chair,blinds,image828
what is on the right side of the wall,door,image829
what is on the right side of the broom,chair,image832
what is on the hanger,towel,image847
what is behind the ornamental plant,blinds,image848
what is on the hanger,towel,image848
what is the colour of the bowl,white,image853
what is behind the tissue roll,chair,image856
what is on the wall,picture,image863
what is behind the chair,window,image863
what is in front of the chair beneath the table,garbage_bin,image864
what is on the right side of the refrigerator,garbage_bin,image865
what is the colour of the garbage bin,black,image865
what is above the tap,blinds,image866
how many knobs are there on the stove,4,image867
how many towels are there,2,image872
what is above the tap,window,image873
what is on the handle,towel,image876
what is in front of the table,garbage_bin,image876
what is the colour of the decorative item,red,image876
what is on the right side of the stove,television,image877
what is around the table,chair,image878
what is behind the chair,blinds,image878
how many remote controls are there,2,image879
what is on the wall,picture,image879
how many chairs are there,4,image879
what is the colour of the table and chair,black,image879
what is in front of the table,chair,image880
how many chairs are there,4,image880
what is in the bowl,books,image881
what is around the table,chair,image882
what is behind the ornamental plant,window,image883
what is on the wall,picture,image883
what is in front of the wall,lamp,image885
what is behind the coffee grinder,chair,image886
what is on the right side of the chair,table,image887
what is around the table,chair,image888
what is on the wall,picture,image888
what is behind the chair,window,image888
what is on the left side of the table,chair,image889
what is on the left side of the cup,towel,image893
how many ornamental plants are there,2,image894
what is on the chair,clothes,image895
how many drawers are there,4,image898
what is behind the tap,window,image899
how many chairs are there around the table,chair,image900
what is on the right side of the ornamental plant,blinds,image900
what is the colour of the table,black,image901
how many chairs are visible,3,image901
what is on the right side of the chair,garbage_bin,image901
what is on the wall,picture,image902
how many ornamental plants are there,4,image904
what is on the bed,pillow,image909
what is on the night stand,lamp,image909
what is on the left side of the night stand,garbage_bin,image909
what is on the wall,picture,image909
how many pillows are there,4,image910
what is on the right side of the bed,chair,image910
what is on the right side of the curtain,blinds,image910
what is above the chair,picture,image910
what is on the right side of the drawer table,door,image911
what is on the left side of the drawer table,curtain,image911
what is on the left side of the curtains,blinds,image911
what is on the right side of the door,television,image912
how many pictures are there on the wall,2,image913
what is on either side of the pictures,blinds,image913
what is on the wall on the right side of the blinds,television,image913
what is on the table,picture,image913
what is on the bed,pillow,image914
how many pictures are visible,3,image914
what is on the right side of the night stand,blinds,image914
how many chairs are there,1,image915
what is on the right side of the chair,bed,image915
what is above the bed,picture,image915
what is on the right side of the night stand,garbage_bin,image916
what is on the left side of the table,bed,image920
what is on the either side of the drawer table,blinds,image920
how many pictures are there on the wall,5,image921
what is in front of the wall,chair,image922
what is above the table,mirror,image923
what is on the wall on the left side of the clock,curtain,image923
what is the tallest object on the night stand,lamp,image924
what is in front of the left side night stand,garbage_bin,image924
what is on the right side of the door,chair,image925
how many drawers are there,5,image925
what is on the left most side on the table,lamp,image929
what is in front of the table,chair,image929
what is on the left side of the table,bed,image929
what is above the table,curtain,image929
how many beds are there,2,image931
how many drawers are there,3,image931
what is the biggest object on the table,television,image936
what is on the left side of the rack,curtain,image936
what is beneath the curtain,blinds,image936
what is in front of the blinds,table,image936
what is on the left side of the table,bed,image937
what is on the bed,pillow,image938
what is on the window,curtain,image939
what is on the left side of the curtains,lamp,image939
what is on the left side of the lamp,books,image939
how many drawers are open,2,image940
what is the number of drawers,3,image941
what is on the wall,picture,image942
what is on the wall,blinds,image943
what is on the right side of the stand,chair,image943
what is on the stool,clothes,image943
what is on the right side of the cloth bag,table,image944
what is on the right side of the drawer table,bed,image944
what is the colour of the blinds,white,image950
what is on the bed,pillow,image950
what is on the left side of the wall,garbage_bin,image952
what is on the wall,picture,image952
what is the colour of the comforter,white,image953
what is on the chair,clothes,image954
what is on the wall,picture,image954
what is on the either side of the pictures,blinds,image954
what is on the left side of the cpu,books,image955
what is on the chair,clothes,image955
what is the colour of the lamp,black,image956
what is the colour of the bag beneath the bag,red,image957
what is on the wall above the switch board,blinds,image957
what is on the wall,picture,image963
what is behind the television,mirror,image964
what is on the left side of the table,bookshelf,image964
what is the largest object in front of the wall,bed,image968
what is behind the ironing table,blinds,image968
what is behind the ironing board,blinds,image969
what is on the right side of the blinds,picture,image969
what is on the right side of the night stand,door,image978
what is on the right side of the table,bookshelf,image979
what is on the right side of the shelf,table,image979
what is on the carton,lamp,image980
what is on the left side of the carton,television,image980
what is on the left side of the television,door,image981
what is on the left side of the other television,curtain,image981
what is in front of the blinds,chair,image981
what is on the night stand,lamp,image982
what is on the left side of the night stand,mirror,image982
how many pillows are there on the bed,3,image983
how many blinds are there,3,image984
what is in front of the bed,television,image985
what is on the table,mirror,image985
what is in front of the bookshelf,bed,image986
what is behind the drawer,blinds,image987
what is on the left side of the bed,chair,image989
what is the colour of the object on the chair,white,image989
how many drawers are visible,2,image989
what is on the right side of the rack,garbage_bin,image990
what is on the left side of the rack,mirror,image990
what is on the left side of the mirror,blinds,image990
what is on the left side of the night table,blinds,image996
what is on the bed,pillow,image997
what is on the left side of the the night stand,garbage_bin,image997
what is on the right side of the night stand,door,image998
what is on the comforter,pillow,image998
what is on the bench,towel,image999
how many pictures are hung on the wall,2,image1000
what is above the drawer,blinds,image1000
what is behind the blinds,window,image1000
what is above the drawer,television,image1005
what is on the shelf,picture,image1005
how many doors of the cupboards are visible,2,image1005
what is behind the bed,curtain,image1006
what is on the left side of the bed,lamp,image1006
what is above the lamp,picture,image1006
what is on the bed,clothes,image1007
what is the colour of the curtains,red,image1007
how many white clothes are visible,5,image1007
what is on the wall,picture,image1007
what is the colour of the bed,brown,image1009
what is on the left side of the comforter,pillow,image1009
what is on the right side of the bed,lamp,image1009
what is behind the lamp,curtain,image1009
what is on the night stand,lamp,image1013
what is on the wall,picture,image1014
what is on the left side of the bed,lamp,image1014
what is on the wall,picture,image1015
what is on the right side of the wall,mirror,image1015
how many doors does the cupboard have,2,image1016
how many pictures are there on the wall,3,image1017
what is the colour of the blinds,white,image1017
what is on the bench,pillow,image1017
how many white colour objects are there,4,image1018
what is on the right side of the bed,door,image1018
what is on the right side of the shelf,chair,image1019
what is the colour of the chair,black,image1019
what is behind the chair,door,image1019
how many beds are there,2,image1020
how many pillows are there,2,image1020
what is on the wall,picture,image1024
what is behind the lamp,blinds,image1024
what is on the wall,blinds,image1025
what is on the left side of the wall,door,image1025
what is on the wall,picture,image1026
what is the colour of the door,white,image1026
how many pillows are visible,1,image1026
what is tin front of the wall,bed,image1027
what is in between the chairs,lamp,image1028
what is on the table,picture,image1028
what is on the left side of the picture,door,image1028
what is on the left side of the purple table,bed,image1028
what is on the night stand,lamp,image1029
what is on the right side of the night stand,window,image1030
what is in front of the wall,picture,image1030
what is in front of the wall,chair,image1031
what is above the drawer,mirror,image1031
what is on the left side of the bed,clothes,image1035
what is on the left side of the wall,table,image1035
what is on the right side of the bed,blinds,image1036
what is on the floor,clothes,image1036
how many drawers are open,1,image1037
how many shelves are visible,4,image1037
what is in front of the drawer,chair,image1037
what is on the chair,clothes,image1037
how many drawers are there,3,image1040
what is behind the chair,bookshelf,image1040
what is on the left side of the drawers,bed,image1040
what is behind the bed,blinds,image1040
what is behind the drawer table,blinds,image1041
what is on the wall,picture,image1041
what is on the bed,clothes,image1042
what is the colour of the lamp,white,image1042
how many small drawers are there,3,image1043
what is on the right side of the table,bed,image1043
what is on the bed,clothes,image1043
what is in between the piano and the shelf,mirror,image1044
what is on the right side of the bed,blinds,image1045
how many drawers are there,4,image1047
what is on the wall,picture,image1047
what is behind the bed,window,image1050
what is on the floor,clothes,image1050
how many beds are there,2,image1050
how many drawers are visible,4,image1051
what is on the left side of the drawers table,mirror,image1051
what is on the left side of the shoe,clothes,image1051
what is behind the drawer table,bed,image1054
what is on the right side of the drawer table,picture,image1054
what is in between the bed,chair,image1054
how many drawers are there,5,image1055
what is above the chair,blinds,image1056
what is on the right side of the shelf,blinds,image1059
what is the colour of the bedding,white,image1059
how many drawers are there,3,image1059
how many pillows are there on the bed,4,image1060
what is on the bed,clothes,image1060
what is on the right side of the table,door,image1061
what is in front of the table,chair,image1061
what is on the floor,pillow,image1062
what is on the blinds,curtain,image1063
how many drawers are there,3,image1064
what is on the right side of the blinds,clothes,image1064
what is on the wall,clothes,image1066
what is on the left side of the wooden box,mirror,image1067
what is on the left side of the mirror,picture,image1067
what is on the right side of the night stand,garbage_bin,image1068
what is on the left side night stand,lamp,image1071
what is in front of the bed,pillow,image1071
how many curtains are there,2,image1072
what is on the left most table,television,image1072
what is beneath the curtains,blinds,image1072
what is on the right side of the bookshelf,door,image1073
what is on the right side of the night stand,garbage_bin,image1074
what is on the left side night stand,lamp,image1074
what is on the left side of the lamp,mirror,image1086
what is on the left side of the mirror,chair,image1086
what is on the left side of the lamp,door,image1086
what is on the wall,picture,image1087
what is on the left side of the picture,curtain,image1087
what is on the wall,window,image1097
what is in front of the wall,table,image1097
what is on the right side of the table,bed,image1097
what is above the bed,blinds,image1105
what is the colour of the lamp,brown,image1110
how many drawers are there,3,image1110
what is on the bed,pillow,image1110
what is in front of the table,chair,image1111
what is above the table,mirror,image1111
how many knobs are there on the bed,2,image1111
what is on the wall,television,image1112
what is the colour of the wall,white,image1112
what is seen in the mirror reflection,television,image1112
what is on the blinds,curtain,image1113
what is behind the table in front of the drawer,picture,image1113
what is the colour of the drawers,black,image1113
what is behind the lamp,picture,image1114
what is above the drawers,clothes,image1115
what is on the right side of the shelf,blinds,image1115
how many pillows on the bed,4,image1116
how many pictures are there on the wall,2,image1116
what is on the right side of the bed,chair,image1116
how many blinds are there,2,image1120
how many blue and pink coloured pillows are there,2,image1120
what is the colour of the wall,brown,image1120
what is on the wall,picture,image1121
what is beneath the picture,television,image1121
what is in front of the television,bed,image1121
what is on the right side of the exercise equipment,table,image1132
what is in front of the table,chair,image1132
what is on the right side of the table,television,image1132
how many pillows are there,2,image1133
what is the colour of the lamp,white,image1133
how many tables are there,2,image1134
what is the large black object,television,image1134
how many pictures are there,2,image1137
how many lamps are there,2,image1137
what is beneath the table,garbage_bin,image1137
what is the colour of the table and chair,brown,image1137
what is on the right side of the window,television,image1138
what is beneath the television,table,image1138
what is on the left side of the bed,lamp,image1138
what is the colour of the bed,white,image1138
how many brown objects are there,2,image1139
what is the largest object,bed,image1139
what is on the right side of the table,white,image1140
what is on the table,lamp,image1140
what is in front of the table,chair,image1140
what is behind the bed,blinds,image1141
what is on the right side of the blinds,bookshelf,image1141
what is in front of the bookshelf,table,image1141
what is in between the bed and sofa,table,image1142
what is the colour of the bed,brown,image1142
what is above the sofa,picture,image1143
what is on the left side of the bag,pillow,image1143
what us in the wall,picture,image1159
what is on the top bed,towel,image1160
what is on the right side of the switch board,table,image1160
what is on the left side of the table,garbage_bin,image1161
what is on the right side of the table,clothes,image1161
how many posters are there,2,image1172
how many shelves and tables are there,3,image1172
how many drawers are there,2,image1172
what is on the wall,picture,image1173
what is behind the chair,table,image1173
how many dolls are there,2,image1177
what is on the left side of the pink dolls,mirror,image1177
what is on the floor,clothes,image1177
what is on the left side of the clothes,bed,image1177
how many drawers are there,4,image1178
what is behind the exercise ball,bookshelf,image1185
how many beds are there,2,image1186
what is on the night stand,lamp,image1186
what is on the left side of the night stand,chair,image1187
how many lamps are there,2,image1187
how many pictures are there,2,image1188
how any drawers are there,3,image1189
what is on the left side of the cupboard,pillow,image1189
how many pictures are there on the wall,3,image1189
how many circular shaped pictures are there,2,image1190
what is on the right side of the bed,lamp,image1190
how many pictures are there on the night stand,3,image1191
how many beds are there,2,image1197
what is the colour of the sheets,red,image1197
what is above the table,television,image1198
what is above the crib,blinds,image1198
what is the colour of the blinds,white,image1199
what is on the wall,television,image1213
how many drawers are there,3,image1213
what is on the left side of the sofa,table,image1213
how many stools are there,2,image1214
what is on the right side of the stools,sofa,image1214
what is on the left side of the sofa,table,image1214
what is on the chair,pillow,image1215
how many chairs are there,2,image1215
what is the colour of the chair behind the red chair,black,image1215
how many drawer knobs are there,3,image1215
how many drawers are there,4,image1221
what is on the left side of the drawers,television,image1221
what is on the left most side,blinds,image1221
how many pillows are there on the sofa,4,image1222
what is behind the sofa,blinds,image1222
how many blinds are there,3,image1222
how many drawers are there,1,image1223
what is beneath the drawer,door,image1223
what is behind the stool,chair,image1224
what is on the right side of the fireplace,table,image1224
what is on the right side of the table,sofa,image1224
what is on the left side of the table,television,image1225
what is on the right side of the television,table,image1225
what is the biggest object,sofa,image1231
what is in front of the sofa,table,image1231
what is on the right side of the sofa,lamp,image1231
what is behind the lamp,blinds,image1231
what is behind the chair,lamp,image1232
what is on the left side of the lamp,door,image1232
what is in between the chairs,television,image1232
what is on the left side of the decorative item,door,image1236
what is on the bed,pillow,image1237
what is on the left side of the bed,table,image1237
what is in front of the sofa,table,image1238
what is in between the chairs,table,image1238
what is on the right side of the flower pot,bookshelf,image1240
what is on the sofa,clothes,image1241
what is on the right side of the chairs and table,blinds,image1241
what is on the left side of the wooden pillar,mirror,image1241
what is in the shelf,television,image1242
what is on the right side of the shelf,books,image1242
what is behind the red cloth,clothes,image1243
what is on the right side of the dog,pillow,image1243
what is in front of the sofa,table,image1243
what is behind the table,sofa,image1244
what is in front of the sofa,television,image1244
what is above the television,picture,image1244
what is in between the chair and sofa,lamp,image1245
what is on the right side of the sofa,table,image1245
what is on the left side of the stairs,door,image1245
what is the colour of the vase in between the chair and sofa,red,image1246
how many lamp domes are there,3,image1246
what is in front of the bookshelf,television,image1251
how many drawers are there,4,image1251
what is on the right side of the bookshelf,door,image1251
what is on the wall,picture,image1252
what is in front of the sofa,table,image1252
what is behind the sofa,bookshelf,image1253
what is above the sofa,picture,image1266
what is on the left side of the sofa,table,image1266
what is on the left side of the sofa,curtain,image1267
what is above the sofa,picture,image1267
what is on the sofa,pillow,image1267
what is on the wall,picture,image1268
what is on the right side of the picture,window,image1268
what is on the table,television,image1268
what is above the chair,picture,image1269
what is on the left side of the chair,blinds,image1269
what is on the left side of the blinds,lamp,image1269
what is above the table,mirror,image1270
what is on the left side of the ornamental plant,chair,image1270
what is beneath the picture,sofa,image1271
what is on the right side of the sofa,mirror,image1271
how many sofas are there,3,image1272
what is on the right side of the sofa,lamp,image1272
what is on the left side of the mirror,picture,image1272
what is in between the sofas,mirror,image1274
what is above the sofa,picture,image1274
how many books are there on the table,4,image1283
what is behind the sofa,window,image1284
what is on the window,curtain,image1284
what is on the left side of the curtains,picture,image1284
what is on the sofa,pillow,image1284
how many ornamental plants are there,2,image1300
how many white drawers are there,2,image1301
what is on the right side of the monitor,window,image1301
how many red objects are there,4,image1309
what is behind the bench,garbage_bin,image1309
what is on the chair,pillow,image1309
what is behind the chair,door,image1310
what is on the right side of the door,window,image1310
what is the largest object,sofa,image1311
what is on the left side of the sofa,garbage_bin,image1311
what is above the garbage bin,window,image1311
what is on the right side of the table,chair,image1312
what is on the right side of the table,chair,image1313
how many pictures are visible,3,image1316
what is on the right side of the door,television,image1316
what is beneath the television,table,image1316
what is on the left side of the treadmill,sofa,image1317
what is in front of the sofa,television,image1317
how many pillows are there on the sofa,3,image1318
how many pictures are there on the wall,4,image1318
what is the largest object on the table,television,image1319
how many drawers are there,3,image1319
what is on the right side of the chair,blinds,image1320
what is beneath the picture,table,image1321
what is on the wall,picture,image1322
what is in front of the fireplace,books,image1322
what is in front of the books,chair,image1322
what is on the chair,pillow,image1322
what is on the right side of the fireplace,picture,image1323
what is above the picture,bookshelf,image1323
how many red chairs are there,2,image1323
how many blinds are there,3,image1324
what is on the right side of the decorative item,bookshelf,image1324
what is on the right side of the fishes on the wall,picture,image1325
what is beneath the fishes,sofa,image1325
